FRB,ra[deg],dec[deg],p_host,DMobs,DM_MW,z_sample,DMexgal,survey,Reference,reischke_sample,connor_sample,sharma_sample,sharma_reason_for_excluding/notes,redshift_type,l[deg],b[deg]
FRB 20220506D,318.045,72.827,0.9910,396.97,84.49,0.3004,312.48,DSA-110,"Sherman+2024, Connor+2025, Sharma+2024, Law+2024",yes,yes,yes,,spec,108.354,16.513
FRB 20190102C,322.416,-79.476,1.0000,364.50,57.43,0.2913,307.07,ASKAP,"Heintz+2020, Mannings+2021, Bhandari+2022, Gordon+2023, Shannon+2025",yes,yes,yes,,spec,312.654,-33.493
FRB 20240229A,169.984,70.676,0.9970,491.15,37.94,0.2870,453.21,DSA-110,Connor+2025,yes,yes,yes,,spec,133.333,44.558
FRB 20221012A,280.799,70.524,0.9960,441.08,54.36,0.2847,386.72,DSA-110,"Sherman+2024, Connor+2025, Sharma+2024, Law+2024",yes,yes,yes,,spec,101.145,26.140
FRB 20210320C,204.459,-16.123,1.0000,384.80,39.18,0.2797,345.62,ASKAP,"Gordon+2023, Shannon+2024",yes,yes,yes,,spec,318.873,45.308
FRB 20220105A,208.804,22.467,1.0000,580.00,21.94,0.2785,558.06,ASKAP,"Gordon+2023, Shannon+2024",yes,yes,yes,,spec,18.557,74.808
FRB 20221116A,21.211,72.654,0.9430,640.60,132.34,0.2764,508.26,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,125.452,9.946
FRB 20230307A,177.782,71.695,0.9680,608.90,37.60,0.2710,571.30,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,129.527,44.653
FRB 20231123B,242.538,70.785,0.9080,396.70,40.25,0.2625,356.45,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,104.278,38.324
FRB 20221113A,71.411,70.307,0.9950,411.40,91.67,0.2505,319.73,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,140.318,15.834
FRB 20220307B,350.875,72.192,0.9830,499.27,128.19,0.2481,371.08,DSA-110,"Sherman+2024, Connor+2025, Sharma+2024, Law+2024",yes,yes,yes,,spec,116.246,10.472
FRB 20191228A,344.431,-29.594,1.0000,297.50,32.85,0.2432,264.65,"ASKAP, RealFast","Bhandari+2022, Shannon+2025",yes,yes,yes,,spec,20.555,-64.925
FRB 20220825A,311.982,72.585,0.9930,651.24,78.49,0.2414,572.75,DSA-110,"Sherman+2024, Connor+2025, Sharma+2024, Law+2024",yes,yes,yes,,spec,106.995,17.785
FRB 20221101B,342.216,70.682,0.9870,490.70,131.20,0.2395,359.50,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,113.067,10.195
FRB 20190714A,183.980,-13.021,1.0000,504.13,38.39,0.2365,465.74,ASKAP,"Heintz+2020, Mannings+2021, Bhandari+2022, Gordon+2023, Shannon+2025",yes,yes,yes,,spec,289.697,48.936
FRB 20191001A,323.351,-54.748,0.9995,507.90,44.16,0.2340,463.74,ASKAP,"Heintz+2020, Mannings+2021, Gordon+2023, Woodland+2024, Shannon+2025",yes,yes,yes,,spec,341.228,-44.904
FRB 20240215A,268.441,70.232,0.9980,549.50,48.01,0.2100,501.49,DSA-110,Connor+2025,yes,yes,yes,,spec,100.644,30.269
FRB 20221106A,56.705,-25.570,0.9446,343.80,34.73,0.2044,309.07,ASKAP,Shannon+2025,yes,no,yes,,spec,220.901,-50.879
FRB 20121102A,82.995,33.148,1.0000,557.00,188.40,0.1927,368.60,VLBI,"Bassa+2017, Mannings+2021, Gordon+2023",yes,yes,yes,,spec,174.880,-0.222
FRB 20220725A,353.315,-35.990,1.0000,290.40,30.77,0.1926,259.63,ASKAP,Shannon+2025,yes,no,yes,,spec,0.001,-71.186
FRB 20220529A,19.104,20.632,0.9870,246.00,39.99,0.1839,206.01,"CHIME, FAST, Parkes",Li+2025,yes,no,yes,,spec,130.788,-41.858
FRB 20210603A,10.274,21.226,0.9990,500.15,39.41,0.1770,460.74,CHIME,Cassanelli+2024,yes,no,yes,,spec,119.709,-41.581
FRB 20200430A,229.706,12.377,1.0000,380.25,27.09,0.1600,353.16,ASKAP,"Heintz+2020, Bhandari+2022, Gordon+2023, Shannon+2024",yes,yes,yes,,spec,17.140,52.503
FRB 20220920A,240.257,70.919,0.9850,314.99,39.89,0.1582,275.10,DSA-110,"Sherman+2024, Connor+2025, Sharma+2024, Law+2024",yes,yes,yes,,spec,104.923,38.893
FRB 20230526A,22.233,-52.717,1.0000,361.40,31.88,0.1570,329.52,ASKAP,Shannon+2025,yes,no,yes,,spec,290.171,-63.472
FRB 20231226A,155.364,6.110,1.0000,329.90,38.07,0.1569,291.83,ASKAP,Shannon+2025,yes,no,yes,,spec,236.578,48.646
FRB 20210410D,326.086,-79.318,0.9957,578.78,56.23,0.1415,522.55,MeerKAT,Caleb+2023,yes,yes,yes,,spec,312.322,-34.130
FRB 20240209A,289.887,86.064,0.9900,176.52,55.50,0.1384,121.02,CHIME,"Eftekhari+2025, Shah+2025",yes,no,yes,,spec,118.564,26.579
FRB 20210807D,299.220,-0.762,0.9990,251.30,121.28,0.1293,130.02,ASKAP,"Shannon+2025, Woodland+2024, Gordon+2023",yes,yes,yes,,spec,39.861,-14.877
FRB 20240310A,166.786,72.281,0.9884,601.80,39.11,0.1270,562.69,ASKAP,Shannon+2025,yes,no,yes,,spec,133.412,42.660
FRB 20230628A,166.787,72.282,0.9530,345.15,39.11,0.1265,306.04,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,133.412,42.660
FRB 20240213A,166.168,74.075,0.9950,357.40,40.11,0.1185,317.29,DSA-110,Connor+2025,yes,yes,yes,,spec,132.337,41.045
FRB 20190608B,334.020,-7.899,1.0000,339.50,37.19,0.1178,302.31,ASKAP,"Chittidi+2021, Bhandari+2022, Heintz+2020, Mannings+2021, Gordon+2023, Shannon+2025",yes,yes,yes,,spec,53.208,-48.530
FRB 20220914A,282.058,73.336,0.9740,631.28,54.70,0.1139,576.58,DSA-110,"Sherman+2024, Connor+2025, Sharma+2024, Law+2024",yes,yes,yes,,spec,104.307,26.130
FRB 20201124A,77.015,26.061,0.9500,413.52,139.94,0.0980,273.58,"DSA-110, CHIME","Ravi+2022, Nimmo+2022",yes,yes,yes,,spec,177.768,-8.523
FRB 20230124A,231.917,70.968,0.9990,590.57,38.53,0.0939,552.05,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,107.127,41.027
FRB 20230930A,10.507,41.417,0.9994,456.00,68.09,0.0925,387.91,RealFAST,Anna-Thomas+2025,yes,no,yes,,spec,121.037,-21.420
FRB 20220509G,282.670,70.244,0.9700,269.50,55.58,0.0894,213.92,DSA-110,"Connor+2025, Sharma+2024, Law+2024, Sharma+2023, Connor+2023",no,yes,yes,,spec,100.943,25.476
FRB 20220912A,347.270,48.707,0.9500,219.46,125.24,0.0771,94.22,"DSA-110, CHIME",Ravi+2023,no,no,yes,,spec,106.065,-10.784
FRB 20240203,312.621,73.900,0.9960,272.40,76.22,0.0740,196.18,DSA-110,Verdi+2025,no,no,yes,,spec,108.235,18.396
FRB 20211212A,157.351,1.361,1.0000,206.00,38.84,0.0715,167.16,ASKAP,"Gordon+2023, Shannon+2024",yes,yes,yes,,spec,244.008,47.316
FRB 20231120A,143.985,73.285,0.9870,438.90,43.77,0.0700,395.13,DSA-110,"Connor+2025, Sharma+2024",yes,yes,yes,,spec,138.722,37.234
FRB 20231204A,207.999,48.116,0.9760,221.00,29.71,0.0644,191.29,CHIME,"CHIME/FRB Collaboration+2025, Michilli+2023",yes,no,yes,Is this FRB not the same as FRB 20190303A from Michilli+2023 with ~10 arcsecond-localization?,spec,97.624,65.928
FRB 20201123A,263.660,-50.764,0.9150,433.55,252.56,0.0507,180.99,MeerKAT,Rajwade+2022,no,yes,yes,,spec,340.229,-9.675
FRB 20211127I,199.808,-18.838,0.9998,234.83,42.46,0.0469,192.37,ASKAP,Gordon+2023,yes,yes,yes,,spec,312.021,43.543
FRB 20220207C,310.200,72.882,0.9700,262.30,76.01,0.0430,186.29,DSA-110,"Connor+2025, Sharma+2024, Law+2024",no,yes,yes,,spec,106.938,18.390
FRB 20240201A,149.906,14.088,1.0000,374.50,38.57,0.0427,335.93,ASKAP,Shannon+2025,yes,no,yes,,spec,222.134,47.969
FRB 20180916B,29.503,65.717,1.0000,348.76,198.84,0.0337,149.92,CHIME,"Tendulkar+2021, Marcote+2020, Mannings+2021, Gordon+2023",no,yes,yes,,spec,129.711,3.725
FRB 20240210A,8.780,-28.271,1.0000,283.73,28.63,0.0237,255.10,ASKAP,Shannon+2025,no,no,yes,,spec,14.439,-86.212
FRB 20171020A,333.827,-19.670,0.9800,114.10,36.55,0.0087,77.55,ASKAP,"Lee-Waddell+2023, Mahony+2018",no,yes,yes,,spec,36.210,-53.560
FRB 20231025B,270.788,63.989,0.9250,368.70,48.64,0.3238,320.06,CHIME,CHIME/FRB Collaboration+2025,yes,no,unclear,Arcmin-localization.,spec,93.433,29.434
FRB 20231017A,346.754,36.653,0.9180,344.20,64.55,0.2450,279.65,CHIME,CHIME/FRB Collaboration+2025,yes,no,unclear,Arcmin-localization.,spec,100.610,-21.652
FRB 20230730A,54.665,33.159,0.9520,312.50,85.24,0.2115,227.26,CHIME,CHIME/FRB Collaboration+2025,yes,no,unclear,Arcmin-localization.,spec,158.817,-17.816
FRB 20230203A,151.662,35.694,0.9380,420.10,36.30,0.1464,383.80,CHIME,CHIME/FRB Collaboration+2025,yes,no,unclear,Arcmin-localization.,spec,188.713,54.087
FRB 20230222A,106.960,11.225,0.9850,706.10,134.12,0.1223,571.98,CHIME,CHIME/FRB Collaboration+2025,yes,no,unclear,Arcmin-localization.,spec,204.716,8.696
FRB 20230703A,184.624,48.730,0.9730,291.30,26.96,0.1184,264.34,CHIME,CHIME/FRB Collaboration+2025,yes,no,unclear,Arcmin-localization.,spec,137.210,67.475
FRB 20231201A,54.589,26.818,0.9110,169.40,70.04,0.1119,99.36,CHIME,CHIME/FRB Collaboration+2025,no,no,unclear,Arcmin-localization.,spec,163.041,-22.770
FRB 20230222B,238.739,30.899,0.9810,187.80,27.70,0.1100,160.10,CHIME,CHIME/FRB Collaboration+2025,yes,no,unclear,Arcmin-localization.,spec,49.618,49.979
FRB 20231128A,199.578,42.993,0.9850,331.60,24.97,0.1079,306.63,CHIME,CHIME/FRB Collaboration+2025,no,no,unclear,Arcmin-localization. Repeat burst of FRB 20191106C.,spec,105.685,73.224
FRB 20231223C,259.545,29.498,0.9530,165.80,47.90,0.1059,117.90,CHIME,CHIME/FRB Collaboration+2025,no,no,unclear,Arcmin-localization.,spec,52.311,32.080
FRB 20231011A,18.242,41.749,0.9913,186.30,70.34,0.0783,115.96,CHIME,CHIME/FRB Collaboration+2025,yes,no,unclear,Arcmin-localization.,spec,127.229,-20.943
FRB 20231123A,82.623,4.474,0.9559,302.10,89.74,0.0729,212.36,CHIME,CHIME/FRB Collaboration+2025,yes,no,unclear,Arcmin-localization.,spec,199.310,-15.744
FRB 20190418A,65.817,16.067,0.9200,182.78,70.14,0.0713,112.64,CHIME,Bhardwaj+2024,yes,no,unclear,Arcmin-localization.,spec,179.297,-22.892
FRB 20231005A,246.028,35.449,0.9850,189.40,33.37,0.0713,156.03,CHIME,CHIME/FRB Collaboration+2025,no,no,unclear,Arcmin-localization.,spec,57.165,44.353
FRB 20231206A,112.443,56.256,0.9890,457.70,59.13,0.0659,398.57,CHIME,CHIME/FRB Collaboration+2025,yes,no,unclear,Arcmin-localization.,spec,161.058,27.482
FRB 20200223B,8.270,28.831,0.9940,201.80,45.60,0.0602,156.20,CHIME,Ibik+2024,yes,no,unclear,Arcmin-localization.,spec,118.089,-33.868
FRB 20230926A,269.125,41.814,0.9960,222.80,52.71,0.0553,170.09,CHIME,CHIME/FRB Collaboration+2025,no,no,unclear,Arcmin-localization.,spec,68.235,27.484
FRB 20181223C,180.929,27.553,0.9600,111.61,19.96,0.0302,91.65,CHIME,Bhardwaj+2024,yes,no,unclear,Arcmin-localization.,spec,207.900,79.398
FRB 20231230A,72.789,2.368,0.9180,131.40,61.49,0.0298,69.91,CHIME,CHIME/FRB Collaboration+2025,yes,no,unclear,Arcmin-localization.,spec,195.890,-25.259
FRB 20181220A,348.717,48.340,0.9900,209.40,118.48,0.0275,90.92,CHIME,Bhardwaj+2024,no,no,unclear,Arcmin-localization.,spec,106.825,-11.488
FRB 20231229A,26.468,35.108,0.9980,198.50,58.16,0.0190,140.34,CHIME,CHIME/FRB Collaboration+2025,yes,no,unclear,Arcmin-localization.,spec,135.346,-26.448
FRB 20181030A,158.583,73.751,0.9975,103.50,41.05,0.0039,62.45,CHIME,Bhardwaj+2021,no,yes,unclear,Arcmin-localization.,spec,134.813,40.057
FRB 20230216A,156.473,3.437,0.4200,828.00,38.48,0.5310,789.52,DSA-110,"Connor+2025, Sharma+2024",yes,yes,no,Insecure host association.,spec,240.797,47.946
FRB 20181112A,327.349,-52.971,0.8862,589.27,41.73,0.4755,547.54,ASKAP,"Prochaska+2019, Heintz+2020, Gordon+2023, Shannon+2024",yes,yes,no,Insecure host association.,spec,342.599,-47.699
FRB 20220330D,163.751,70.351,0.6300,468.10,38.65,0.3714,429.45,DSA-110,"Connor+2025, Sharma+2024",yes,yes,no,Insecure host association.,spec,136.009,43.702
FRB 20220208A,322.575,70.041,0.5600,437.00,101.64,0.3510,335.36,DSA-110,"Connor+2025, Sharma+2024",yes,yes,no,Insecure host association.,spec,107.262,13.561
FRB 20230808F,53.304,-51.935,0.5900,653.20,35.38,0.3472,617.82,MeerKAT,Hanmer+2025,yes,no,no,Insecure host association.,spec,263.522,-50.950
FRB 20220831A,338.696,70.538,0.9980,1146.25,126.72,0.2620,1019.53,DSA-110,Connor+2025,no,no,yes,Evidence for excess DM_host,spec,111.958,10.637
FRB 20190520B,240.518,-11.288,0.9984,1210.30,60.09,0.2410,1150.21,FAST,"Gordon+2023, Niu+2022",no,no,yes,Evidence for excess DM_host,spec,359.673,29.907
FRB 20221027A,130.872,72.101,0.6160,452.50,47.16,0.2290,405.34,DSA-110,"Connor+2025, Sharma+2024",yes,yes,no,Insecure host association.,spec,142.088,34.221
FRB 20210117A,339.979,-16.151,1.0000,728.95,34.26,0.2140,694.69,ASKAP,"Bhandari+2023, Gordon+2023, Shannon+2024",yes,yes,yes,Evidence for excess DM_host,spec,45.918,-57.647
FRB 20230311A,91.110,55.946,0.7740,364.30,92.39,0.1918,271.91,CHIME,CHIME/FRB Collaboration+2025,yes,no,no,Insecure host association. Arcmin-localization.,spec,157.713,16.040
FRB 20240114A,321.916,4.329,0.9974,527.70,49.58,0.1300,478.12,"CHIME, VLBI","Chen+2025, Bruni+2024",yes,no,yes,Evidence for excess DM_host,spec,57.481,-31.651
FRB 20190110C,249.318,41.443,0.7790,221.60,36.97,0.1224,184.63,CHIME,Ibik+2024,yes,no,no,Insecure host association. Arcmin-localization.,spec,65.573,42.100
FRB 20230708A,303.116,-55.356,1.0000,411.51,60.33,0.1050,351.18,ASKAP,"Shannon+2025, Muller+2025",yes,no,yes,Evidence for excess DM_host,spec,342.629,-33.388
FRB 20210405I,255.340,-49.545,0.9975,565.17,516.42,0.0660,48.75,MeerKAT,Driessen+2024,no,no,no,DM_exgal < DM_MW_halo!,spec,338.192,-4.597
FRB 20230718A,128.162,-40.452,0.9400,476.67,423.71,0.0350,52.96,ASKAP,Glowacki+2024,no,no,no,DM_exgal ~ DM_MW_halo!,spec,259.463,-0.367
FRB 20190425A,255.662,21.577,0.7870,128.20,48.72,0.0312,79.48,CHIME,"Da-Chun+2025, Panther+2023",no,no,no,Insecure host association.,spec,42.100,33.090
FRB 20220319D,32.178,71.035,0.9900,110.95,139.78,0.0111,-28.83,DSA-110,"Ravi+2025, Connor+2025, Sharma+2024, Law+2024",no,no,no,Negative DM_exgal!,spec,129.183,9.107
FRB 20200120E,149.486,68.826,1.0000,87.82,40.77,0.0008,47.05,"CHIME, VLBI","Bhardwaj+2021, Kirsten+2022",no,no,no,DM_exgal < DM_MW_halo!,spec,142.186,41.214
