Name	z	αX	δX	αBCG	δBCG	Optical + NIR datasets
SPT-CL J0256−5617	0.580	44.1044	−56.2977	44.1056	−56.2978	griz[3.6][4.5]
SPT-CL J0304−4401	0.458	46.0659	−44.0329	46.0701	−44.0255	grizW1W2
SPT-CL J0304−4921	0.392	46.0664	−49.3570	46.0673	−49.3571	grizW1W2
SPT-CL J0307−5042	0.550	46.9603	−50.7045	46.9605	−50.7012	grizW1W2
SPT-CL J0307−6225	0.579	46.8275	−62.4352	46.8195	−62.4465	grizW1W2
SPT-CL J0310−4647	0.709	47.6343	−46.7847	47.6354	−46.7856	griz[3.6][4.5]
SPT-CL J0324−6236	0.730	51.0488	−62.5984	51.0511	−62.5988	griz[3.6][4.5]
SPT-CL J0330−5228	0.442	52.7226	−52.4737	52.7374	−52.4704	grizW1W2
SPT-CL J0334−4659	0.485	53.5501	−46.9966	53.5457	−46.9958	grizW1W2
SPT-CL J0346−5439	0.530	56.7320	−54.6477	56.7308	−54.6487	grizW1W2
SPT-CL J0348−4515	0.358	57.0701	−45.2507	57.0712	−45.2498	grizW1W2
SPT-CL J0352−5647	0.670	58.2403	−56.7985	58.2397	−56.7977	griz[3.6][4.5]
SPT-CL J0406−4805	0.737	61.7270	−48.0853	61.7302	−48.0826	grizW1W2
SPT-CL J0411−4819	0.424	62.8100	−48.3214	62.7957	−48.3277	grizW1W2
SPT-CL J0417−4748	0.581	64.3458	−47.8140	64.3461	−47.8132	griz[3.6][4.5]
SPT-CL J0426−5455	0.630	66.5207	−54.9173	66.5171	−54.9253	grizW1W2
SPT-CL J0438−5419	0.421	69.5775	−54.3202	69.5734	−54.3224	grizW1W2
SPT-CL J0441−4855	0.790	70.4503	−48.9220	70.4497	−48.9233	griz[3.6][4.5]
SPT-CL J0446−5849	1.186	71.5170	−58.8294	71.5157	−58.8304	griz[3.6][4.5]
SPT-CL J0449−4901	0.792	72.2741	−49.0242	72.2819	−49.0214	griz[3.6][4.5]
SPT-CL J0456−5116	0.562	74.1201	−51.2777	74.1171	−51.2764	griz[3.6][4.5]
SPT-CL J0509−5342	0.461	77.3383	−53.7032	77.3393	−53.7035	griz[3.6][4.5]
SPT-CL J0528−5300	0.768	82.0188	−52.9961	82.0222	−52.9981	griz[3.6][4.5]
SPT-CL J0533−5005	0.881	83.4018	−50.0969	83.4033	−50.0958	griz[3.6][4.5]
SPT-CL J0542−4100	0.642	85.7111	−41.0019	85.7085	−41.0001	grizW1W2
SPT-CL J0546−5345	1.066	86.6532	−53.7604	86.6568	−53.7586	griz[3.6][4.5]
SPT-CL J0551−5709	0.423	87.8954	−57.1484	87.8931	−57.1451	griz[3.6][4.5]
SPT-CL J0555−6406	0.345	88.8660	−64.1058	88.8731	−64.1068	–
SPT-CL J0559−5249	0.609	89.9357	−52.8253	89.9301	−52.8242	griz[3.6][4.5]
SPT-CL J0616−5227	0.684	94.1466	−52.4555	94.1420	−52.4525	griz[3.6][4.5]
SPT-CL J0655−5234	0.470	103.9721	−52.5687	103.9760	−52.5674	–
SPT-CL J2031−4037	0.342	307.9648	−40.6220	307.9720	−40.6252	–
SPT-CL J2034−5936	0.919	308.5371	−59.6039	308.5390	−59.6042	griz[3.6][4.5]
SPT-CL J2035−5251	0.528	308.7927	−52.8554	308.7950	−52.8564	griz[3.6][4.5]
SPT-CL J2043−5035	0.723	310.8243	−50.5930	310.8230	−50.5923	griz[3.6][4.5]
SPT-CL J2106−5844	1.132	316.5174	−58.7426	316.5190	−58.7411	griz[3.6][4.5]
SPT-CL J2135−5726	0.427	323.9111	−57.4390	323.9060	−57.4418	griz[3.6][4.5]
SPT-CL J2145−5644	0.480	326.4686	−56.7470	326.4660	−56.7482	griz[3.6][4.5]
SPT-CL J2146−4633	0.933	326.6456	−46.5489	326.6470	−46.5505	griz[3.6][4.5]
SPT-CL J2148−6116	0.571	327.1804	−61.2788	327.1780	−61.2795	griz[3.6][4.5]
SPT-CL J2218−4519	0.650	334.7461	−45.3158	334.7470	−45.3145	griz[3.6][4.5]
SPT-CL J2222−4834	0.652	335.7136	−48.5770	335.7110	−48.5764	griz[3.6][4.5]
SPT-CL J2232−5959	0.594	338.1428	−59.9990	338.1410	−59.9980	grizW1W2
SPT-CL J2233−5339	0.480	338.3233	−53.6544	338.3150	−53.6526	grizW1W2
SPT-CL J2236−4555	1.162	339.2196	−45.9270	339.2230	−45.9312	griz[3.6][4.5]
SPT-CL J2245−6206	0.580	341.2577	−62.1185	341.2590	−62.1272	griz[3.6][4.5]
SPT-CL J2248−4431	0.351	342.1875	−44.5287	342.1830	−44.5308	grizW1W2
SPT-CL J2258−4044	0.826	344.7062	−40.7396	344.7010	−40.7418	–
SPT-CL J2259−6057	0.750	344.7509	−60.9590	344.7540	−60.9595	griz[3.6][4.5]
SPT-CL J2301−4023	0.730	345.4692	−40.3895	345.4700	−40.3868	griz[3.6][4.5]
SPT-CL J2306−6505	0.530	346.7260	−65.0902	346.7230	−65.0882	griz[3.6][4.5]
SPT-CL J2325−4111	0.358	351.3023	−41.1959	351.2990	−41.2037	grizW1W2
SPT-CL J2331−5051	0.576	352.9610	−50.8631	352.9630	−50.8650	griz[3.6][4.5]
SPT-CL J2335−4544	0.547	353.7854	−45.7396	353.7850	−45.7391	grizW1W2
SPT-CL J2337−5942	0.775	354.3516	−59.7061	354.3370	−59.7109	griz[3.6][4.5]
SPT-CL J2341−5119	1.003	355.3009	−51.3285	355.3010	−51.3291	griz[3.6][4.5]
SPT-CL J2342−5411	1.075	355.6904	−54.1838	355.6910	−54.1847	griz[3.6][4.5]
SPT-CL J2344−4243	0.596	356.1839	−42.7205	356.1830	−42.7201	griz[3.6][4.5]
SPT-CL J2345−6405	0.937	356.2491	−64.1001	356.2510	−64.0927	griz[3.6][4.5]
SPT-CL J2352−4657	0.734	358.0684	−46.9605	358.0680	−46.9602	griz[3.6][4.5]
SPT-CL J2355−5055	0.320	358.9502	−50.9283	358.9480	−50.9277	griz[3.6][4.5]
SPT-CL J2359−5009	0.775	359.9321	−50.1697	359.9280	−50.1672	–
SPT-CL J0106−5943	0.348	16.6141	−59.7200	16.6197	−59.7201	grizW1W2
SPT-CL J2332−5053	0.560	353.0343	−50.8911	353.0249	−50.8849	griz[3.6][4.5]
SPT-CL J0232−4421	0.284	38.0711	−44.3513	38.0773	−44.3467	grizW1W2
SPT-CL J0235−5121	0.278	38.9345	−51.3585	38.9387	−51.3512	grizW1W2
SPT-CL J0516−5430	0.295	79.1479	−54.5126	79.1556	−54.5004	griz[3.6][4.5]
SPT-CL J0522−4818	0.296	80.5682	−48.3039	80.5648	−48.3049	grizW1W2
SPT-CL J0658−5556	0.296	104.6180	−55.9448	104.6470	−55.9491	–
SPT-CL J2011−5725	0.279	302.8611	−57.4200	302.8620	−57.4196	–
